,STATE_ABBR,DATA_YEAR,STATE_POPULATION,STATE_TOTAL_CRIMES
574,IN,1984,5498000,415297
575,IN,1985,5499000,413454
576,IN,1986,5504000,407403
577,IN,1987,5531000,437559
578,IN,1988,5575000,441541
579,IN,1989,5593000,473919
580,IN,1990,5544159,493027
581,IN,1991,5610000,512209
582,IN,1992,5662000,501959
583,IN,1993,5713000,482239
584,IN,1994,5752000,498155
585,KS,2016,2907731,176779
586,KS,2017,2913123,175788
587,KS,1997,2595000,256257
588,KS,1996,2572000,230186
589,KS,1999,2654052,225447
590,KS,2000,2688418,226584
591,KS,2001,2702125,221983
592,KS,2002,2711769,211765
593,KS,2003,2724786,229383
594,KS,2004,2733697,229872
595,KS,2005,2748172,219877
596,KS,2006,2764075,220480
597,KS,2007,2775997,219518
598,KS,2008,2802134,202197
599,KS,2009,2818747,194171
600,KS,2010,2859143,189556
601,KS,2011,2870386,188264
602,KS,2012,2885398,193236
603,KS,2014,2902507,170891
604,KS,1998,2629000,245200
605,KS,1995,2565000,239908
606,KS,2015,2906721,172258
607,KS,2013,2895801,181921
608,KS,1979,2369000,223586
609,KS,1980,2354783,244152
610,KS,1981,2381000,248556
611,KS,1982,2408000,230400
612,KS,1983,2425000,211775
613,KS,1984,2438000,203439
614,KS,1985,2450000,205664
615,KS,1986,2461000,228290
616,KS,1987,2476000,233908
617,KS,1988,2487000,233643
618,KS,1989,2513000,240365
619,KS,1990,2477574,246235
620,KS,1991,2495000,263697
621,KS,1992,2523000,255556
622,KS,1993,2531000,239284
623,KS,1994,2554000,236268
624,KY,2010,4347223,233634
625,KY,2011,4366814,249216
626,KY,2012,4379730,236155
627,KY,2008,4269245,241981
628,KY,2009,4314113,229608
629,KY,2013,4399583,218810
630,KY,1996,3884000,233510
631,KY,1997,3908000,232024
632,KY,1998,3936000,232351
633,KY,1999,3960825,221748
634,KY,2000,4041769,227349
635,KY,2001,4068816,225222
636,KY,2002,4089822,228281
637,KY,2003,4118189,216972
638,KY,2014,4412617,209843
639,KY,2004,4141835,220570
640,KY,2005,4172608,222350
641,KY,2006,4206074,230217
642,KY,2007,4241474,228651
643,KY,2016,4436113,206465
644,KY,2017,4454189,200221
645,KY,1995,3860000,244675
646,KY,2015,4424611,205346
647,KY,1979,3527000,215844
648,KY,1980,3641479,240367
649,KY,1981,3661000,247979
650,KY,1982,3667000,250158
651,KY,1983,3714000,243171
652,KY,1984,3723000,209948
653,KY,1985,3726000,208240
654,KY,1986,3728000,218087
655,KY,1987,3727000,231157
656,KY,1988,3721000,221008
657,KY,1989,3727000,233958
658,KY,1990,3685296,228802
659,KY,1991,3713000,233122
660,KY,1992,3755000,229491
661,KY,1993,3789000,229488
662,KY,1994,3827000,238441
663,LA,1998,4369000,498813
664,LA,1999,4372035,470471
665,LA,1996,4351000,554686
666,LA,1997,4352000,524094
667,LA,2000,4468976,454248
668,LA,2001,4470368,446064
669,LA,2002,4476192,427366
670,LA,2003,4493665,416018
671,LA,2004,4506685,427150
672,LA,2005,4507331,360111
673,LA,2006,4287768,380873
674,LA,2007,4293204,393659
675,LA,2008,4410796,372808
676,LA,2009,4492076,374827
677,LA,2010,4545343,357284
678,LA,2011,4574766,363129
679,LA,2012,4602134,348757
680,LA,2013,4629284,355957
681,LA,2016,4686157,336033
682,LA,2017,4684333,342110
683,LA,1995,4342000,536005
684,LA,2015,4668960,341196
685,LA,2014,4648990,346995
686,LA,1979,4026000,404257
687,LA,1980,4199542,430138
688,LA,1981,4305000,426068
689,LA,1982,4362000,434163
690,LA,1983,4438000,417716
691,LA,1984,4462000,425807
692,LA,1985,4481000,467498
693,LA,1986,4501000,513016
694,LA,1987,4461000,493096
695,LA,1988,4420000,477537
696,LA,1989,4382000,512727
697,LA,1990,4219973,509558
698,LA,1991,4252000,505902
699,LA,1992,4287000,519085
700,LA,1993,4295000,542522
701,LA,1994,4315000,533345
702,MA,2016,6823721,239277
703,MA,2017,6859819,222090
704,MA,2005,6433367,333098
705,MA,2006,6437193,340103
706,MA,2004,6407382,345789
707,MA,1996,6092000,428394
708,MA,1997,6118000,410285
709,MA,2000,6349097,354032
710,MA,2001,6401164,364743
711,MA,2002,6421800,366643
712,MA,2003,6420357,359463
713,MA,2007,6449755,338657
714,MA,2008,6497967,342666
715,MA,2009,6593587,337567
716,MA,2010,6555466,340386
717,MA,2011,6607003,326454
718,MA,2012,6645303,314312
719,MA,2013,6708874,302324
720,MA,2014,6755124,278131
721,MA,1998,6147000,384214
722,MA,1999,6175169,368897
723,MA,1995,6074000,485681
724,MA,2015,6784240,255933
725,MA,1979,5769000,652162
726,MA,1980,5728288,662018
727,MA,1981,5770000,637129
728,MA,1982,5781000,603311
729,MA,1983,5767000,544678
730,MA,1984,5798000,501712
731,MA,1985,5822000,522664
732,MA,1986,5832000,518454
733,MA,1987,5855000,521270
734,MA,1988,5871000,549654
735,MA,1989,5913000,567472
736,MA,1990,6016425,593184
737,MA,1991,5996000,594118
738,MA,1992,5998000,553415
739,MA,1993,6012000,540055
740,MA,1994,6041000,493813
741,MD,2003,5512310,457614
742,MD,2004,5561332,443909
743,MD,2005,5589599,436335
744,MD,2008,5633597,434002
745,MD,2010,5785681,379822
746,MD,2006,5615727,429079
747,MD,2007,5618344,423868
748,MD,1996,5072000,567692
749,MD,1997,5094000,532811
750,MD,1998,5135000,510151
751,MD,1999,5171634,470393
752,MD,2000,5296486,468507
753,MD,2001,5386079,481112
754,MD,2002,5450525,476225
755,MD,2009,5699478,399975
756,MD,2011,5839572,363983
757,MD,2012,5884868,354071
758,MD,2014,5975346,328536
759,MD,2016,6024752,309423
760,MD,2017,6052177,300210
761,MD,1995,5042000,585007
762,MD,2015,5994983,314247
763,MD,2013,5938737,345276
764,MD,1979,4149000,489325
765,MD,1980,4192211,520163
766,MD,1981,4261000,521050
767,MD,1982,4265000,476602
768,MD,1983,4304000,426392
769,MD,1984,4349000,419105
770,MD,1985,4392000,435291
771,MD,1986,4463000,462839
772,MD,1987,4535000,461998
773,MD,1988,4644000,492380
774,MD,1989,4694000,482062
775,MD,1990,4781468,513624
776,MD,1991,4860000,557067
777,MD,1992,4908000,561921
778,MD,1993,4965000,556834
779,MD,1994,5006000,565535
780,ME,1998,1244000,74088
781,ME,2009,1318301,65238
782,ME,2010,1327379,67675
783,ME,2011,1328544,69563
784,ME,2005,1318220,65261
785,ME,2006,1321574,68849
786,ME,2007,1317207,66309
787,ME,1996,1243000,82825
788,ME,1997,1242000,76292
789,ME,1999,1253040,70640
790,ME,2000,1274923,65403
791,ME,2001,1284470,67743
792,ME,2002,1294894,67366
793,ME,2003,1309205,65578
794,ME,2004,1314985,64844
795,ME,2008,1316456,66636
796,ME,2012,1328501,68661
797,ME,2014,1330256,54655
798,ME,2016,1330232,45682
799,ME,2017,1335907,42036
800,ME,1995,1241000,79895
801,ME,2015,1329453,50540
802,ME,2013,1328702,62823
803,ME,1979,1097000,92281
804,ME,1980,1123670,95981
805,ME,1981,1132000,93854
806,ME,1982,1133000,85615
807,ME,1983,1146000,82543
808,ME,1984,1156000,79720
809,ME,1985,1164000,83528
810,ME,1986,1174000,79544
811,ME,1987,1187000,82050
812,ME,1988,1206000,84396
813,ME,1989,1222000,85908
814,ME,1990,1227928,89053
815,ME,1991,1235000,91431
816,ME,1992,1235000,85416
817,ME,1993,1239000,76596
818,ME,1994,1240000,79553
819,MI,2016,9933445,428055
820,MI,2017,9962311,405420
821,MI,1999,9863775,796483
822,MI,1996,9594000,920991
823,MI,1997,9774000,903495
824,MI,1998,9817000,858493
825,MI,2000,9938444,761753
826,MI,2001,10006266,760130
827,MI,2002,10043221,724426
828,MI,2003,10082364,712680
829,MI,2004,10104206,669347
830,MI,2005,10100833,681720
831,MI,2006,10095643,708169
832,MI,2007,10071822,673852
833,MI,2008,10003422,644574
834,MI,2009,9969727,620537
835,MI,2010,9877143,594700
836,MI,2011,9876801,549052
837,MI,2012,9882519,545885
838,MI,2014,9916306,449644
839,MI,1995,9549000,924126
840,MI,2015,9917715,426117
841,MI,2013,9898193,507026
842,MI,1979,9208000,1075472
843,MI,1980,9228128,1173116
844,MI,1981,9201000,1202222
845,MI,1982,9109000,1176196
846,MI,1983,9069000,1109893
847,MI,1984,9075000,1120937
848,MI,1985,9088000,1090418
849,MI,1986,9145000,1113771
850,MI,1987,9200000,1116280
851,MI,1988,9300000,1062714
852,MI,1989,9273000,1041124
853,MI,1990,9295297,1040996
854,MI,1991,9368000,1074794
855,MI,1992,9437000,986272
856,MI,1993,9478000,958555
857,MI,1994,9496000,961401
858,MI,1979,2406000,134680
859,MI,1980,2511491,163056
860,MI,1981,2530000,171284
861,MI,1982,2551000,174759
862,MI,1983,2587000,158735
863,MI,1984,2598000,151664
864,MI,1985,2613000,163587
865,MI,1986,2625000,168420
866,MI,1987,2625000,173445
867,MI,1988,2627000,180224
868,MI,1989,2621000,176116
869,MI,1990,2573216,190364
870,MI,1991,2592000,208719
871,MI,1992,2614000,213125
872,MI,1993,2643000,222083
873,MI,1994,2669000,245025
874,MN,2016,5525050,249308
875,MN,2017,5576606,258240
876,MN,1996,4658000,400000
877,MN,1997,4686000,397839
878,MN,1998,4725000,367738
879,MN,1999,4775508,330519
880,MN,2000,4919479,329409
881,MN,2001,4984535,343237
882,MN,2002,5024791,341480
883,MN,2003,5064172,328642
884,MN,2004,5096546,323789
885,MN,2005,5126739,331845
886,MN,2006,5167101,334594
887,MN,2007,5197621,332791
888,MN,2008,5220393,314039
889,MN,2010,5310658,286175
890,MN,2011,5347299,285470
891,MN,2012,5379646,289665
892,MN,2009,5266214,292344
893,MN,1995,4610000,398238
894,MN,2015,5482435,257885
895,MN,2013,5422060,275824
896,MN,2014,5457125,263900
897,MN,1979,4060000,347725
898,MN,1980,4061235,380586
899,MN,1981,4090000,378118
900,MN,1982,4133000,359158
901,MN,1983,4144000,326445
902,MN,1984,4162000,310966
903,MN,1985,4193000,335945
904,MN,1986,4214000,355655
905,MN,1987,4246000,379854
906,MN,1988,4306000,359094
907,MN,1989,4353000,369053
908,MN,1990,4375099,383762
909,MN,1991,4432000,384542
910,MN,1992,4480000,396184
911,MN,1993,4517000,382680
912,MN,1994,4567000,380109
913,MO,2016,6091176,374391
914,MO,2017,6113532,379958
915,MO,1996,5359000,513231
916,MO,2008,5911605,464555
917,MO,2009,5987580,434703
918,MO,1997,5402000,488970
