,ORI,DATA_YEAR,POPULATION
517,AZ0072300,2010,1445632
518,AZ0072300,2009,1597397
519,AZ0072300,2008,1585838
520,AZ0072500,2017,251840
521,AZ0072500,2016,240885
522,AZ0072500,2015,233872
523,AZ0072500,2014,229325
524,AZ0072500,2013,225523
525,AZ0072500,2012,223432
526,AZ0072500,2011,220462
527,AZ0072500,2010,217385
528,AZ0072500,2009,239115
529,AZ0072500,2008,238905
530,AZ0072700,2017,135345
531,AZ0072700,2016,130679
532,AZ0072700,2015,128525
533,AZ0072700,2014,125049
534,AZ0072700,2013,122497
535,AZ0072700,2012,120793
536,AZ0072700,2011,119181
537,AZ0072700,2010,117517
538,AZ0072700,2009,104692
539,AZ0072700,2008,101141
540,AZ0072900,2017,186086
541,AZ0072900,2016,178654
542,AZ0072900,2015,175556
543,AZ0072900,2014,169812
544,AZ0072900,2013,168501
545,AZ0072900,2012,166061
546,AZ0072900,2011,164008
547,AZ0072900,2010,161719
548,AZ0072900,2009,177486
549,AZ0072900,2008,176388
550,AZ0080100,2017,29181
551,AZ0080100,2016,29069
552,AZ0080100,2015,28651
553,AZ0080100,2014,28526
554,AZ0080100,2013,28400
555,AZ0080100,2012,28588
556,AZ0080100,2011,28465
557,AZ0080100,2010,28068
558,AZ0080100,2009,28700
559,AZ0080100,2008,28725
560,AZ0080500,2017,40039
561,AZ0080500,2016,39426
562,AZ0080500,2015,39319
563,AZ0080500,2014,39337
564,AZ0080500,2013,39577
565,AZ0080500,2012,40277
566,AZ0080500,2011,40100
567,AZ0080500,2010,39540
568,AZ0080500,2009,41721
569,AZ0080500,2008,41976
570,AZ0090000,2017,69886
571,AZ0090000,2016,68950
572,AZ0090000,2015,68836
573,AZ0090000,2014,68904
574,AZ0090000,2013,68362
575,AZ0090000,2012,68805
576,AZ0090000,2011,69060
577,AZ0090000,2010,68097
578,AZ0090000,2009,70569
579,AZ0090000,2008,70704
580,AZ0100000,2017,364297
581,AZ0100000,2016,365857
582,AZ0100000,2015,365193
583,AZ0100000,2014,366269
584,AZ0100000,2013,362987
585,AZ0100000,2012,359938
586,AZ0100000,2011,358264
587,AZ0100000,2010,353264
588,AZ0100000,2009,355075
589,AZ0100000,2008,378404
590,AZ0100300,2017,532323
591,AZ0100300,2016,533663
592,AZ0100300,2015,529675
593,AZ0100300,2014,527328
594,AZ0100300,2013,525486
595,AZ0100300,2012,531535
596,AZ0100300,2011,527479
597,AZ0100300,2010,520116
598,AZ0100300,2009,547981
599,AZ0100300,2008,528917
600,AZ0100700,2017,44251
601,AZ0100700,2016,44089
602,AZ0100700,2015,42258
603,AZ0100700,2014,41764
604,AZ0100700,2013,41493
605,AZ0100700,2012,41786
606,AZ0100700,2011,41592
607,AZ0100700,2010,41011
608,AZ0100700,2009,44854
609,AZ0100700,2008,40785
610,AZ0109700,2017,0
611,AZ0109700,2016,0
612,AZ0109700,2015,0
613,AZ0109700,2014,0
614,AZ0109700,2013,0
615,AZ0109700,2012,0
616,AZ0109700,2011,0
617,AZ0109700,2010,0
618,AZ0109700,2009,0
619,AZ0109700,2008,0
620,AZ0109800,2017,0
621,AZ0109800,2016,0
622,AZ0109800,2015,0
623,AZ0109800,2014,0
624,AZ0109800,2013,0
625,AZ0109800,2012,0
626,AZ0109800,2011,0
627,AZ0109800,2010,0
628,AZ0109800,2009,0
629,AZ0109800,2008,0
630,AZ0110000,2017,219229
631,AZ0110000,2016,206209
632,AZ0110000,2015,206311
633,AZ0110000,2014,199868
634,AZ0110000,2013,195619
635,AZ0110000,2012,193911
636,AZ0110000,2011,190628
637,AZ0110000,2010,187966
